,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,POSTAL,ROAD_NAME,X,Y
28491, 34 MOUNT SINAI AVENUE MOUNT SINAI SINGAPORE 277174 ,34,MOUNT SINAI,1.316114,103.780731,277174,MOUNT SINAI AVENUE,22147.56386,33154.78831
128879, 20 ATTAP VALLEY ROAD SINGAPORE 759909 ,20,NIL,1.458462,103.795535,759909,ATTAP VALLEY ROAD,23795.26233,48894.8169
136374, 19E NIM ROAD ESTE VILLA SINGAPORE 804997 ,19E,ESTE VILLA,1.382184,103.863937,804997,NIM ROAD,31407.47018,40460.38521
123637, 43 SUNGEI KADUT STREET 4 SUNGEI KADUT INDUSTRIAL ESTATE SINGAPORE 729061 ,43,SUNGEI KADUT INDUSTRIAL ESTATE,1.42173,103.748448,729061,SUNGEI KADUT STREET 4,18555.09564,44833.39011
122235, 36 VERDE AVENUE VILLA VERDE SINGAPORE 688304 ,36,VILLA VERDE,1.391001,103.751502,688304,VERDE AVENUE,18894.85739,41435.54337
50417, 3 LENGKONG ENAM SINGAPORE 417574 ,3,NIL,1.326886,103.914109,417574,LENGKONG ENAM,36991.11546,34346.00745
55212, 16 LORONG G TELOK KURAU SINGAPORE 426180 ,16,NIL,1.316268,103.9067,426180,LORONG G TELOK KURAU,36166.67967,33171.83908
61841, 6 MARINE PARADE CENTRAL SINGAPORE 449411 ,6,NIL,1.301347,103.907184,449411,MARINE PARADE CENTRAL,36220.5153,31521.98649
21909, 2 JERVOIS ROAD SPC RIVER VALLEY SINGAPORE 248994 ,2,SPC RIVER VALLEY,1.293337,103.825886,248994,JERVOIS ROAD,27172.85068,30636.16971
59534, 307B TANJONG KATONG ROAD SINGAPORE 437090 ,307B,NIL,1.306241,103.896101,437090,TANJONG KATONG ROAD,34987.04941,32063.14999
121938, 154A JALAN TECK WHYE MULTI STOREY CAR PARK SINGAPORE 681154 ,154A,MULTI STOREY CAR PARK,1.379186,103.757532,681154,JALAN TECK WHYE,19565.85249,40129.07158
6759, 369 PASIR PANJANG ROAD WINDSOR CONVALESCENT HOME SINGAPORE 118706 ,369,WINDSOR CONVALESCENT HOME,1.289924,103.774139,118706,PASIR PANJANG ROAD,21413.83461,30258.88428
132857, 3 SPRINGLEAF VIEW SPRINGLEAF GARDEN SINGAPORE 787909 ,3,SPRINGLEAF GARDEN,1.397678,103.820176,787909,SPRINGLEAF VIEW,26537.36716,42173.69822
109840, 60 PANDAN ROAD SINGAPORE 609294 ,60,NIL,1.302568,103.747916,609294,PANDAN ROAD,18495.43282,31656.98561
68097, 336 UPPER EAST COAST ROAD SINGAPORE 466457 ,336,NIL,1.314413,103.938236,466457,UPPER EAST COAST ROAD,39676.32566,32966.87912
6749, 355 PASIR PANJANG ROAD SINGAPORE 118696 ,355,NIL,1.289471,103.775231,118696,PASIR PANJANG ROAD,21535.31649,30208.77603
58173, 44 DUKU ROAD CANNAVILLE SINGAPORE 429201 ,44,CANNAVILLE,1.309058,103.905331,429201,DUKU ROAD,36014.34181,32374.65681
131133, 22 MENG SUAN ROAD MANDAI GARDEN SINGAPORE 779223 ,22,MANDAI GARDEN,1.403264,103.812855,779223,MENG SUAN ROAD,25722.63249,42791.35054
118761, 28 JALAN GUMILANG HILLVIEW GARDEN ESTATE SINGAPORE 668867 ,28,HILLVIEW GARDEN ESTATE,1.358829,103.760829,668867,JALAN GUMILANG,19932.76117,37878.00422
26840, 34 CORONATION ROAD SINGAPORE 269444 ,34,NIL,1.321909,103.808365,269444,CORONATION ROAD,25222.94319,33795.5038
103815, 67 CLOVER WAY CLOVER PARK SINGAPORE 579123 ,67,CLOVER PARK,1.350281,103.844797,579123,CLOVER WAY,29277.47827,36932.73088
111595, 7 KIAN TECK ROAD SINGAPORE 628766 ,7,NIL,1.328705,103.691313,628766,KIAN TECK ROAD,12196.18324,34547.40843
86095, 129 RIVERVALE STREET RIVERVALE PLAINS SINGAPORE 540129 ,129,RIVERVALE PLAINS,1.389869,103.902651,540129,RIVERVALE STREET,35715.79912,41310.25413
93875, 2 LICHFIELD ROAD SERANGOON GARDEN ESTATE SINGAPORE 556822 ,2,SERANGOON GARDEN ESTATE,1.363642,103.870109,556822,LICHFIELD ROAD,32094.38621,38410.17113
88510, 16C RICHARDS AVENUE LOWLAND VIEW SINGAPORE 546422 ,16C,LOWLAND VIEW,1.361609,103.882012,546422,RICHARDS AVENUE,33418.98283,38185.40826
29304, 42 JALAN KELABU ASAP SINGAPORE 278235 ,42,NIL,1.310835,103.797799,278235,JALAN KELABU ASAP,24047.02733,32571.04161
141326, 438C NORTHSHORE DRIVE PUNGGOL POINT CROWN SINGAPORE 823438 ,438C,PUNGGOL POINT CROWN,1.41834,103.911161,823438,NORTHSHORE DRIVE,36662.75915,44458.46144
17819, 34 RACE COURSE ROAD LITTLE INDIA CONSERVATION AREA SINGAPORE 218553 ,34,LITTLE INDIA CONSERVATION AREA,1.307897,103.850742,218553,RACE COURSE ROAD,29939.05821,32246.1639
56450, 354 JOO CHIAT ROAD SINGAPORE 427600 ,354,NIL,1.308417,103.902883,427600,JOO CHIAT ROAD,35741.82823,32303.77059
92616, 34 TAI HWAN HEIGHTS TAI HWAN GARDEN SINGAPORE 555379 ,34,TAI HWAN GARDEN,1.358282,103.860622,555379,TAI HWAN HEIGHTS,31038.53854,37817.42957
70039, 7F JALAN HAJI SALAM HELICONA LODGE SINGAPORE 468756 ,7F,HELICONA LODGE,1.319913,103.952877,468756,JALAN HAJI SALAM,41305.70319,33575.11731
134548, 6C SELETAR NORTH LINK PPT LODGE 1B SINGAPORE 797448 ,6C,PPT LODGE 1B,1.417121,103.896686,797448,SELETAR NORTH LINK,35051.89073,44323.69155
139452, 33 JALAN PERADUN SELETAR HILLS ESTATE SINGAPORE 808678 ,33,SELETAR HILLS ESTATE,1.385134,103.869242,808678,JALAN PERADUN,31997.77574,40786.62788
99837, 90 THOMSON TERRACE THOMSON HILLS ESTATE SINGAPORE 574606 ,90,THOMSON HILLS ESTATE,1.377014,103.831973,574606,THOMSON TERRACE,27850.23992,39888.73144
117101, 383 BUKIT BATOK WEST AVENUE 5 SINGAPORE 650383 ,383,NIL,1.362323,103.752217,650383,BUKIT BATOK WEST AVENUE 5,18974.36234,38264.44023
50541, 67 LENGKONG DUA SINGAPORE 417728 ,67,NIL,1.325127,103.911796,417728,LENGKONG DUA,36733.71714,34151.46143
119497, 209 PETIR ROAD HDB-BUKIT PANJANG SINGAPORE 670209 ,209,HDB-BUKIT PANJANG,1.374162,103.77584,670209,PETIR ROAD,21603.38229,39573.41899
31971, 118 SHELFORD ROAD WATTEN ESTATE SINGAPORE 288495 ,118,WATTEN ESTATE,1.327168,103.810217,288495,SHELFORD ROAD,25429.04976,34377.07456
55737, 38 KUO CHUAN AVENUE SINGAPORE 426934 ,38,NIL,1.305823,103.908913,426934,KUO CHUAN AVENUE,36413.00515,32016.88743
94887, 2 CRICHTON CLOSE SERANGOON GARDEN ESTATE SINGAPORE 557981 ,2,SERANGOON GARDEN ESTATE,1.357829,103.864855,557981,CRICHTON CLOSE,31509.63401,37767.40156
71570, 22 CHEMPAKA KUNING LINK THE SPRINGFIELD SINGAPORE 486257 ,22,THE SPRINGFIELD,1.332522,103.949447,486257,CHEMPAKA KUNING LINK,40923.9181,34969.32929
41973, 40 JALAN RIANG SERANGOON PARK SINGAPORE 359009 ,40,SERANGOON PARK,1.347168,103.866606,359009,JALAN RIANG,31704.51799,36588.55022
109045, 21 CHENG SOON GARDEN CHENG SOON GARDEN SINGAPORE 599799 ,21,CHENG SOON GARDEN,1.334692,103.771485,599799,CHENG SOON GARDEN,21118.5684,35209.05142
77320, 578A PASIR RIS STREET 53 MULTI STOREY CAR PARK SINGAPORE 511578 ,578A,MULTI STOREY CAR PARK,1.373986,103.9466,511578,PASIR RIS STREET 53,40606.8867,39554.25902
128748, 80 GOODLINK PARK GOODLINK PARK SINGAPORE 759540 ,80,GOODLINK PARK,1.426768,103.824697,759540,GOODLINK PARK,27040.56179,45390.22745
50790, 2 JALAN SENYUM SINGAPORE 418136 ,2,NIL,1.320296,103.914921,418136,JALAN SENYUM,37081.52514,33617.30652
65507, 33 EAST COAST TERRACE SINGAPORE 458942 ,33,NIL,1.311218,103.922829,458942,EAST COAST TERRACE,37961.684,32613.50423
61868, 1080 EAST COAST PARKWAY LE COVE SINGAPORE 449890 ,1080,LE COVE,1.303091,103.921553,449890,EAST COAST PARKWAY,37819.66044,31714.85681
8630, 11 WEST COAST LANE WEST COAST GARDENS SINGAPORE 127742 ,11,WEST COAST GARDENS,1.312955,103.758032,127742,WEST COAST LANE,19621.33616,32805.49305
6179, 13A ZEHNDER ROAD SINGAPORE 117697 ,13A,NIL,1.283207,103.785845,117697,ZEHNDER ROAD,22716.53585,29516.05312
104874, 170 UPPER BUKIT TIMAH ROAD ETERNAL LIFE ASSEMBLY SINGAPORE 588179 ,170,ETERNAL LIFE ASSEMBLY,1.343321,103.775854,588179,UPPER BUKIT TIMAH ROAD,21604.83545,36163.17926
11662, 110 ALEXANDRA ROAD SINGAPORE 159921 ,110,NIL,1.291487,103.819827,159921,ALEXANDRA ROAD,26498.5011,30431.61625
131523, 1 YIO CHU KANG DRIVE ATELIER VILLAS SINGAPORE 786314 ,1,ATELIER VILLAS,1.381173,103.833003,786314,YIO CHU KANG DRIVE,27964.83136,40348.60463
47312, 35B LORONG 22 GEYLANG SINGAPORE 398692 ,35B,NIL,1.311479,103.882481,398692,LORONG 22 GEYLANG,33471.32861,32642.2833
123979, 16 MARSILING LANE MARSILING NEIGHBOURHOOD POLICE POST SINGAPORE 730016 ,16,MARSILING NEIGHBOURHOOD POLICE POST,1.442352,103.778321,730016,MARSILING LANE,21879.6662,47113.54425
34914, 238 THOMSON ROAD DBS NOVENA MRT STATION SINGAPORE 307683 ,238,DBS NOVENA MRT STATION,1.320211,103.843657,307683,THOMSON ROAD,29150.53779,33607.74511
24922, 20 PRINCE OF WALES ROAD SINGAPORE 266975 ,20,NIL,1.323264,103.808618,266975,PRINCE OF WALES ROAD,25251.10828,33945.37515
93194, 123 SERANGOON GARDEN WAY SERANGOON GARDEN ESTATE SINGAPORE 556025 ,123,SERANGOON GARDEN ESTATE,1.365007,103.862969,556025,SERANGOON GARDEN WAY,31299.79404,38561.07183
81614, 104 JALAN KELICHAP TAI KENG VILLAS SINGAPORE 534308 ,104,TAI KENG VILLAS,1.347689,103.881397,534308,JALAN KELICHAP,33350.63551,36646.21433
126592, 511 CANBERRA ROAD SEMBAWANG MART SINGAPORE 750511 ,511,SEMBAWANG MART,1.453776,103.819591,750511,CANBERRA ROAD,26472.2867,48376.66546
127904, 54 SENOKO DRIVE SENOKO INDUSTRIAL ESTATE SINGAPORE 758234 ,54,SENOKO INDUSTRIAL ESTATE,1.463822,103.805852,758234,SENOKO DRIVE,24943.46225,49487.54711
69634, 8 JALAN LIMAU NIPIS BEDOKVILLE SINGAPORE 468261 ,8,BEDOKVILLE,1.32417,103.947012,468261,JALAN LIMAU NIPIS,40652.90226,34045.8186
103579, 94 GARDENIA ROAD ADELPHI PARK ESTATE SINGAPORE 578867 ,94,ADELPHI PARK ESTATE,1.354882,103.827087,578867,GARDENIA ROAD,27306.49681,37441.4941
124635, 844 WOODLANDS AVENUE 4 HDB-WOODLANDS SINGAPORE 730844 ,844,HDB-WOODLANDS,1.443925,103.793219,730844,WOODLANDS AVENUE 4,23537.54809,47287.4721
26628, 66 DUCHESS AVENUE DUCHESS CREST SINGAPORE 269204 ,66,DUCHESS CREST,1.324664,103.802992,269204,DUCHESS AVENUE,24624.90207,34100.18072
102417, 38 JALAN LEBAN SEMBAWANG HILLS ESTATE SINGAPORE 577575 ,38,SEMBAWANG HILLS ESTATE,1.37299,103.830898,577575,JALAN LEBAN,27730.66501,39443.72219
11534, 12 JERVOIS LANE SINGAPORE 159189 ,12,NIL,1.294427,103.818691,159189,JERVOIS LANE,26372.1046,30756.69703
2673, 21A BOON TAT STREET TELOK AYER CONSERVATION AREA SINGAPORE 069620 ,21A,TELOK AYER CONSERVATION AREA,1.28137,103.848515,69620,BOON TAT STREET,29691.25631,29312.9353
113681, 39 YUNNAN WALK 1 YUNNAN GARDENS SINGAPORE 638170 ,39,YUNNAN GARDENS,1.338021,103.69078,638170,YUNNAN WALK 1,12136.93051,35577.52326
90003, 23E JANSEN ROAD FORTUNA HILL SINGAPORE 548427 ,23E,FORTUNA HILL,1.359814,103.876747,548427,JANSEN ROAD,32833.1233,37986.83993
100500, 2 SOO CHOW WAY NEW SOO CHOW GARDENS SINGAPORE 575303 ,2,NEW SOO CHOW GARDENS,1.353637,103.832785,575303,SOO CHOW WAY,27940.57841,37303.77136
126144, 10 KRANJI ROAD KRANJI WATER RECLAMATION PLANT SINGAPORE 739520 ,10,KRANJI WATER RECLAMATION PLANT,1.428502,103.75689,739520,KRANJI ROAD,19494.59391,45582.1156
63601, 25 MARIA AVENUE OPERA ESTATE SINGAPORE 456756 ,25,OPERA ESTATE,1.321096,103.921216,456756,MARIA AVENUE,37782.14052,33705.79349
35902, 61G GILSTEAD ROAD GILSTEAD MANSION SINGAPORE 309105 ,61G,GILSTEAD MANSION,1.319581,103.840309,309105,GILSTEAD ROAD,28777.9183,33538.13441
130195, 312 MILTONIA CLOSE THE SHAUGHNESSY SINGAPORE 768342 ,312,THE SHAUGHNESSY,1.416479,103.846283,768342,MILTONIA CLOSE,29442.77221,44252.62145
113884, 3 TUAS WEST ROAD TUAS MRT DEPOT SINGAPORE 638391 ,3,TUAS MRT DEPOT,1.342206,103.639023,638391,TUAS WEST ROAD,6376.9843,36040.7232
67296, 27 TANAH MERAH KECHIL AVENUE D' MANOR SINGAPORE 465641 ,27,D' MANOR,1.331393,103.945708,465641,TANAH MERAH KECHIL AVENUE,40507.8152,34844.44359
88004, 8 SIRAT PLACE SANFORD PARK SINGAPORE 545823 ,8,SANFORD PARK,1.358264,103.875989,545823,SIRAT PLACE,32748.66709,37815.44009
78490, 244 SIMEI STREET 5 HDB-SIMEI SINGAPORE 520244 ,244,HDB-SIMEI,1.343811,103.954503,520244,SIMEI STREET 5,41486.53944,36217.68661
53777, 257 ONAN ROAD SINGAPORE 424649 ,257,NIL,1.310184,103.901271,424649,ONAN ROAD,35562.49057,32499.10054
49229, 83 KAKI BUKIT INDUSTRIAL TERRACE KAKI BUKIT INDUSTRIAL PARK SINGAPORE 416163 ,83,KAKI BUKIT INDUSTRIAL PARK,1.335744,103.90104,416163,KAKI BUKIT INDUSTRIAL TERRACE,35536.64813,35325.42988
4146, 58 DUXTON ROAD TANJONG PAGAR CONSERVATION AREA SINGAPORE 089522 ,58,TANJONG PAGAR CONSERVATION AREA,1.277979,103.843228,89522,DUXTON ROAD,29102.80627,28937.91326
95081, 45 CONWAY GROVE SERANGOON GARDEN ESTATE SINGAPORE 558225 ,45,SERANGOON GARDEN ESTATE,1.357569,103.865339,558225,CONWAY GROVE,31563.52803,37738.62158
140604, 112 EDGEFIELD PLAINS SINGAPORE 820112 ,112,NIL,1.396245,103.907087,820112,EDGEFIELD PLAINS,36209.47333,42015.3413
56599, 475 JOO CHIAT ROAD SINGAPORE 427682 ,475,NIL,1.306403,103.904788,427682,JOO CHIAT ROAD,35953.93736,32081.02093
22376, 1 CHATSWORTH ROAD ONE CHATSWORTH SINGAPORE 249745 ,1,ONE CHATSWORTH,1.29919,103.824869,249745,CHATSWORTH ROAD,27059.65363,31283.37802
111846, 85 JOO KOON CIRCLE SINGAPORE 629102 ,85,NIL,1.32878,103.678589,629102,JOO KOON CIRCLE,10780.16762,34555.80132
41049, 126 POTONG PASIR AVENUE 1 HDB-POTONG PASIR SINGAPORE 350126 ,126,HDB-POTONG PASIR,1.334972,103.865234,350126,POTONG PASIR AVENUE 1,31551.88518,35240.01181
101860, 25 JALAN RUKAM SEMBAWANG HILLS ESTATE SINGAPORE 576961 ,25,SEMBAWANG HILLS ESTATE,1.371944,103.830861,576961,JALAN RUKAM,27726.50849,39328.15492
107961, 124A JALAN JURONG KECHIL MANDARIN PARK SINGAPORE 598620 ,124A,MANDARIN PARK,1.342041,103.771188,598620,JALAN JURONG KECHIL,21085.56213,36021.70138
2810, 49A AMOY STREET TELOK AYER CONSERVATION AREA SINGAPORE 069875 ,49A,TELOK AYER CONSERVATION AREA,1.280248,103.846907,69875,AMOY STREET,29512.26759,29188.8422
57712, 150B EAST COAST ROAD SINGAPORE 428838 ,150B,NIL,1.306097,103.905838,428838,EAST COAST ROAD,36070.72099,32047.19531
133409, 45 LENTOR WAY LENTOR VIEW SINGAPORE 788781 ,45,LENTOR VIEW,1.387659,103.836799,788781,LENTOR WAY,28387.35459,41065.8085
123571, 7 SUNGEI KADUT STREET 6 SUNGEI KADUT INDUSTRIAL ESTATE SINGAPORE 728855 ,7,SUNGEI KADUT INDUSTRIAL ESTATE,1.429524,103.749101,728855,SUNGEI KADUT STREET 6,18627.81547,45695.20953
111456, 19 PIONEER ROAD ESSO PIONEER SINGAPORE 628499 ,19,ESSO PIONEER,1.313125,103.687549,628499,PIONEER ROAD,11777.20179,32824.67151
107686, 5 KING ALBERT PARK KING ALBERT PARK SINGAPORE 598287 ,5,KING ALBERT PARK,1.334234,103.780706,598287,KING ALBERT PARK,22144.72194,35158.34825
90912, 57B FLORENCE ROAD SINGAPORE 549518 ,57B,NIL,1.364553,103.884681,549518,FLORENCE ROAD,33716.08975,38510.87165
114972, 274 JURONG WEST STREET 25 SINGAPORE 640274 ,274,NIL,1.352542,103.703806,640274,JURONG WEST STREET 25,13586.69341,37183.15698
19159, 104 MACKENZIE ROAD SINGAPORE 228705 ,104,NIL,1.306468,103.847406,228705,MACKENZIE ROAD,29567.8052,32088.12915
24908, 54 PRINCESS OF WALES ROAD SINGAPORE 266948 ,54,NIL,1.322113,103.806992,266948,PRINCESS OF WALES ROAD,25070.15171,33818.04573
101801, 45 JALAN SEMBILANG THOMSON PARK SINGAPORE 576888 ,45,THOMSON PARK,1.356083,103.83453,576888,JALAN SEMBILANG,28134.79729,37574.30841
124278, 524 WOODLANDS DRIVE 14 FRAGRANT WOODS SINGAPORE 730524 ,524,FRAGRANT WOODS,1.432648,103.79368,730524,WOODLANDS DRIVE 14,23588.77248,46040.45723
48991, 50 KAKI BUKIT PLACE JEAN YIP BUILDING SINGAPORE 415926 ,50,JEAN YIP BUILDING,1.33352,103.903444,415926,KAKI BUKIT PLACE,35804.27949,35079.48596
93880, 5A LICHFIELD ROAD SERANGOON GARDEN ESTATE SINGAPORE 556825 ,5A,SERANGOON GARDEN ESTATE,1.364202,103.869814,556825,LICHFIELD ROAD,32061.49551,38472.09821
9825, 26 FABER DRIVE FABER HILLS SINGAPORE 129356 ,26,FABER HILLS,1.319428,103.759645,129356,FABER DRIVE,19800.87098,33521.27995
111417, 29 PIONEER SECTOR 1 SINGAPORE 628434 ,29,NIL,1.301758,103.657502,628434,PIONEER SECTOR 1,8433.19931,31567.9727
81113, 87 LORONG 1 REALTY PARK PARKWOOD COLLECTION SINGAPORE 533785 ,87,PARKWOOD COLLECTION,1.366832,103.890315,533785,LORONG 1 REALTY PARK,34343.0331,38762.8926
14174, 72 BUSSORAH STREET KAMPONG GLAM CONSERVATION AREA SINGAPORE 199485 ,72,KAMPONG GLAM CONSERVATION AREA,1.300815,103.859957,199485,BUSSORAH STREET,30964.63971,31463.01892
120120, 99 ALMOND CRESCENT MERA GARDENS SINGAPORE 677843 ,99,MERA GARDENS,1.371559,103.77353,677843,ALMOND CRESCENT,21346.30174,39285.64517
37274, 98 WHAMPOA DRIVE WHAMPOA VIEW SINGAPORE 320098 ,98,WHAMPOA VIEW,1.321581,103.854151,320098,WHAMPOA DRIVE,30318.43657,33759.20462
137747, 76 SUNRISE DRIVE FLORIDA PARK SINGAPORE 806579 ,76,FLORIDA PARK,1.390914,103.854939,806579,SUNRISE DRIVE,30406.08451,41425.73366
100455, 130 TAMAN PERMATA YEW LIAN PARK SINGAPORE 575254 ,130,YEW LIAN PARK,1.349806,103.833874,575254,TAMAN PERMATA,28061.79037,36880.25086
1530, 28A SAGO STREET KRETA AYER CONSERVATION AREA SINGAPORE 059022 ,28A,KRETA AYER CONSERVATION AREA,1.281965,103.844069,59022,SAGO STREET,29196.38631,29378.72031
92634, 50 TAI HWAN HEIGHTS TAI HWAN GARDEN SINGAPORE 555395 ,50,TAI HWAN GARDEN,1.357966,103.861094,555395,TAI HWAN HEIGHTS,31091.07877,37782.46972
13752, 468 NORTH BRIDGE ROAD CRAWFORD COURT SINGAPORE 190468 ,468,CRAWFORD COURT,1.305392,103.863222,190468,NORTH BRIDGE ROAD,31327.99605,31969.09834
115635, 631A JURONG WEST STREET 65 SINGAPORE 641631 ,631A,NIL,1.343385,103.699826,641631,JURONG WEST STREET 65,13143.70312,36170.58926
68204, 562 UPPER EAST COAST ROAD BLEU @ EAST COAST SINGAPORE 466581 ,562,BLEU @ EAST COAST,1.315775,103.945189,466581,UPPER EAST COAST ROAD,40450.16383,33117.50342
115458, 840 JURONG WEST STREET 81 HDB PUBLIC SHELTERS SINGAPORE 640840 ,840,HDB PUBLIC SHELTERS,1.34402,103.692241,640840,JURONG WEST STREET 81,12299.57946,36240.8345
26987, 60 CORONATION DRIVE SINGAPORE 269605 ,60,NIL,1.323504,103.804936,269605,CORONATION DRIVE,24841.34534,33971.86844
38140, 11 KIM KEAT CLOSE SINGAPORE 328923 ,11,NIL,1.323501,103.853272,328923,KIM KEAT CLOSE,30220.60164,33971.594
74374, 94 BEDOK RIA CRESCENT BEDOK RIA SINGAPORE 489910 ,94,BEDOK RIA,1.326571,103.953215,489910,BEDOK RIA CRESCENT,41343.28685,34311.27539
24301, 96 VICTORIA PARK GROVE VICTORIA PARK VILLAS SINGAPORE 266179 ,96,VICTORIA PARK VILLAS,1.321857,103.80255,266179,VICTORIA PARK GROVE,24575.71654,33789.75261
56612, 489C JOO CHIAT ROAD JOO CHIAT APARTMENTS SINGAPORE 427689 ,489C,JOO CHIAT APARTMENTS,1.305783,103.905475,427689,JOO CHIAT ROAD,36030.38091,32012.46909
65886, 9A DUNBAR WALK FRANKEL ESTATE SINGAPORE 459286 ,9A,FRANKEL ESTATE,1.310949,103.917119,459286,DUNBAR WALK,37326.17215,32583.76506
5757, 25 DEPOT LANE SINGAPORE 109764 ,25,NIL,1.282561,103.810735,109764,DEPOT LANE,25486.61265,29444.56295
3774, 8D LIM TECK KIM ROAD SINGAPORE 088937 ,8D,NIL,1.273622,103.84256,88937,LIM TECK KIM ROAD,29028.51829,28456.20151
140946, 308A PUNGGOL WALK WATERWAY TERRACES I SINGAPORE 821308 ,308A,WATERWAY TERRACES I,1.407754,103.900906,821308,PUNGGOL WALK,35521.56974,43287.93816
17119, 8 STARLIGHT ROAD SINGAPORE 217761 ,8,NIL,1.313825,103.853443,217761,STARLIGHT ROAD,30239.65246,32901.59641
136439, 99 SELETAR GREEN VIEW LUXUS HILLS SINGAPORE 805103 ,99,LUXUS HILLS,1.379822,103.870447,805103,SELETAR GREEN VIEW,32131.8979,40199.21876
135558, 255A JALAN KAYU JALAN KAYU ESTATE SINGAPORE 799482 ,255A,JALAN KAYU ESTATE,1.396739,103.872866,799482,JALAN KAYU,32401.08409,42069.85019
59494, 285A TANJONG KATONG ROAD SINGAPORE 437068 ,285A,NIL,1.306811,103.89587,437068,TANJONG KATONG ROAD,34961.42789,32126.13769
81460, 23D PAYA LEBAR CRESCENT SOLARIS RESIDENCES SINGAPORE 534134 ,23D,SOLARIS RESIDENCES,1.350182,103.881808,534134,PAYA LEBAR CRESCENT,33396.32276,36921.8444
66980, 408A BEDOK NORTH AVENUE 2 HDB-BEDOK SINGAPORE 461408 ,408A,HDB-BEDOK,1.328213,103.932352,461408,BEDOK NORTH AVENUE 2,39021.41078,34492.80511
125422, 25 DINDING PLACE BUKIT VILLAS SINGAPORE 738044 ,25,BUKIT VILLAS,1.416714,103.75716,738044,DINDING PLACE,19524.65628,44278.73361
27386, 29A GHIM MOH LINK OCBC GHIM MOH LINK - FAIRPRICE SINGAPORE 271029 ,29A,OCBC GHIM MOH LINK - FAIRPRICE,1.308597,103.784545,271029,GHIM MOH LINK,22571.97853,32323.55241
12084, 21B YONG SIAK STREET YONG SIAK VIEW SINGAPORE 168651 ,21B,YONG SIAK VIEW,1.282766,103.830083,168651,YONG SIAK STREET,27639.93979,29467.32169
103226, 30 JALAN CHEMPAH THOMSON GARDEN ESTATE SINGAPORE 578458 ,30,THOMSON GARDEN ESTATE,1.353527,103.839352,578458,JALAN CHEMPAH,28671.40775,37291.66029
139008, 4 LILAC WALK LILAC PARK SINGAPORE 808137 ,4,LILAC PARK,1.381778,103.861918,808137,LILAC WALK,31182.76467,40415.55545
100031, 41 THOMSON HILL THOMSON HILLS ESTATE SINGAPORE 574807 ,41,THOMSON HILLS ESTATE,1.378054,103.833715,574807,THOMSON HILL,28044.1468,40003.76162
117777, 21 PAVILION CIRCLE PAVILION PARK SINGAPORE 658491 ,21,PAVILION PARK,1.37142,103.751554,658491,PAVILION CIRCLE,18900.57184,39270.36374
130415, 23 YISHUN CENTRAL 1 NORTH PARK RESIDENCES SINGAPORE 768801 ,23,NORTH PARK RESIDENCES,1.42698,103.835625,768801,YISHUN CENTRAL 1,28256.71876,45413.71262
15966, 331D JALAN BESAR ALLINTON SINGAPORE 208983 ,331D,ALLINTON,1.311884,103.859257,208983,JALAN BESAR,30886.64039,32687.0228
65879, 7 DUNBAR WALK FRANKEL ESTATE SINGAPORE 459279 ,7,FRANKEL ESTATE,1.310673,103.917193,459279,DUNBAR WALK,37334.46927,32553.23289
93704, 17A MARLENE AVENUE SINGAPORE 556635 ,17A,NIL,1.360435,103.871138,556635,MARLENE AVENUE,32208.81478,38055.58485
131040, 303 TRANSIT ROAD NEE SOON CAMP SINGAPORE 778895 ,303,NEE SOON CAMP,1.406225,103.816561,778895,TRANSIT ROAD,26135.13931,43118.78841
109279, 211 JURONG EAST STREET 21 HDB-JURONG EAST SINGAPORE 600211 ,211,HDB-JURONG EAST,1.338669,103.740293,600211,JURONG EAST STREET 21,17647.19025,35648.9416
88541, 40 RICHARDS AVENUE SINGAPORE 546457 ,40,NIL,1.363487,103.881382,546457,RICHARDS AVENUE,33348.87282,38393.08791
310, 20 NORTH CANAL ROAD BOAT QUAY CONSERVATION AREA SINGAPORE 048832 ,20,BOAT QUAY CONSERVATION AREA,1.286481,103.848264,48832,NORTH CANAL ROAD,29663.28824,29878.08678
141111, 231B SUMANG LANE MATILDA COURT SINGAPORE 822231 ,231B,MATILDA COURT,1.402128,103.891467,822231,SUMANG LANE,34471.12055,42665.83339
132479, 49 THONG SOON GREEN SINGAPORE 787355 ,49,NIL,1.398903,103.819949,787355,THONG SOON GREEN,26512.14639,42309.08933
129119, 274 YISHUN STREET 22 HDB-YISHUN SINGAPORE 760274 ,274,HDB-YISHUN,1.437459,103.83904,760274,YISHUN STREET 22,28636.69334,46572.39395
63995, 11 JALAN TUA KONG SINGAPORE 457207 ,11,NIL,1.31338,103.925632,457207,JALAN TUA KONG,38273.6187,32852.62112
92001, 18 GOLDEN WALK GOLDENHILL VILLAS SINGAPORE 554684 ,18,GOLDENHILL VILLAS,1.355681,103.861759,554684,GOLDEN WALK,31165.10523,37529.83179
48179, 25 EUNOS CRESCENT HDB-JALAN EUNOS SINGAPORE 400025 ,25,HDB-JALAN EUNOS,1.323403,103.902376,400025,EUNOS CRESCENT,35685.37326,33960.83879
16208, 14A HAMILTON ROAD PETAIN ROAD/TYRWHITT ROAD CONSERVATION AREA SINGAPORE 209184 ,14A,PETAIN ROAD/TYRWHITT ROAD CONSERVATION AREA,1.311144,103.86093,209184,HAMILTON ROAD,31072.92939,32605.19579
