,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,POSTAL,ROAD_NAME,X,Y
4114, 38 DUXTON ROAD TANJONG PAGAR CONSERVATION AREA SINGAPORE 089502 ,38,TANJONG PAGAR CONSERVATION AREA,1.278811,103.8435,89502,DUXTON ROAD,29133.1564,29029.90229
96933, 435 ANG MO KIO AVENUE 10 CHONG BOON RISE SINGAPORE 560435 ,435,CHONG BOON RISE,1.367704,103.854214,560435,ANG MO KIO AVENUE 10,30325.44428,38859.24958
63702, 33 LAKME TERRACE OPERA ESTATE SINGAPORE 456888 ,33,OPERA ESTATE,1.31816,103.927241,456888,LAKME TERRACE,38452.6971,33381.17227
45901, 240A GEYLANG ROAD GEYLANG CONSERVATION AREA SINGAPORE 389299 ,240A,GEYLANG CONSERVATION AREA,1.312146,103.877723,389299,GEYLANG ROAD,32941.7313,32715.97219
73014, 34 JALAN TIGA RATUS SINGAPORE 488072 ,34,NIL,1.341829,103.960183,488072,JALAN TIGA RATUS,42118.64533,35998.48841
40023, 120 MULBERRY AVENUE SENNETT ESTATE SINGAPORE 348433 ,120,SENNETT ESTATE,1.331609,103.878257,348433,MULBERRY AVENUE,33001.1535,34868.14524
126587, 507 WELLINGTON CIRCLE MONTREAL SPRING SINGAPORE 750507 ,507,MONTREAL SPRING,1.452003,103.823559,750507,WELLINGTON CIRCLE,26913.88505,48180.65945
43715, 82 JALAN CHENGKEK SINGAPORE 369305 ,82,NIL,1.329218,103.884047,369305,JALAN CHENGKEK,33645.60007,34603.71632
52971, 296 TELOK KURAU ROAD SINGAPORE 423854 ,296,NIL,1.310138,103.911513,423854,TELOK KURAU ROAD,36702.29434,32494.08505
18128, 78 MERGUI ROAD SINGAPORE 219054 ,78,NIL,1.317167,103.852223,219054,MERGUI ROAD,30103.88264,33271.13066
29012, 12 LASIA AVENUE LUCKY PARK SINGAPORE 277844 ,12,LUCKY PARK,1.329476,103.794168,277844,LASIA AVENUE,23642.9654,34632.22217
103864, 10 CLOVER CRESCENT CLOVER PARK SINGAPORE 579186 ,10,CLOVER PARK,1.349895,103.843901,579186,CLOVER CRESCENT,29177.66317,36890.05727
26146, 38 JALAN HAJI ALIAS SINGAPORE 268537 ,38,NIL,1.323508,103.794722,268537,JALAN HAJI ALIAS,23704.60369,33972.3013
96216, 50 BRAEMAR DRIVE SERANGOON GARDEN ESTATE SINGAPORE 559453 ,50,SERANGOON GARDEN ESTATE,1.361521,103.861497,559453,BRAEMAR DRIVE,31135.89917,38175.6603
135666, 33 GERALD CRESCENT GERALD GARDENS SINGAPORE 799727 ,33,GERALD GARDENS,1.387198,103.876106,799727,GERALD CRESCENT,32761.66843,41014.84654
31573, 1 VANDA DRIVE ORCHID VILLAGE SINGAPORE 287840 ,1,ORCHID VILLAGE,1.332267,103.799378,287840,VANDA DRIVE,24222.81131,34940.84739
116454, 48 WESTWOOD AVENUE WESTVILLE SINGAPORE 648724 ,48,WESTVILLE,1.352125,103.700288,648724,WESTWOOD AVENUE,13195.18164,37137.08539
119631, 449 BUKIT PANJANG RING ROAD HDB-BUKIT PANJANG SINGAPORE 670449 ,449,HDB-BUKIT PANJANG,1.384171,103.772387,670449,BUKIT PANJANG RING ROAD,21219.08919,40680.19554
76605, 144 JALAN BATALONG EAST BUKIT LOYANG ESTATE SINGAPORE 509636 ,144,BUKIT LOYANG ESTATE,1.361767,103.967928,509636,JALAN BATALONG EAST,42980.42144,38203.20641
